Date,Difference,Predicted_Price,Lower_Confidence_Interval,Upper_Confidence_Interval,borough
2022-04-30,9024.853026922903,375927.7874531524,335820.6780460192,398559.3404846428,CR0
2022-05-31,9311.211082538266,376214.14550876775,335818.5348721493,398560.0500915405,CR0
2022-06-30,9597.535863630668,376500.47028986015,335817.06010449404,398561.4583101498,CR0
2022-07-31,9883.859100053169,376786.79352628265,335815.61642689636,398562.8988984077,CR0
2022-08-31,10170.182264769,377073.1166909985,335814.1742557707,398564.34092611994,CR0
2022-09-30,10456.505426156064,377359.43985238555,335812.7322177819,398565.7829574513,CR0
2022-10-31,10742.828587388602,377645.7630136181,335811.2902491681,398567.224925756,CR0
2022-11-30,11029.151748613966,377932.0861748435,335809.84834696073,398568.666827949,CR0
2022-12-31,11315.474909838997,378218.4093360685,335808.4065110133,398570.1086638958,CR0
2022-01-31,-3646.0960548416406,486151.82061182504,442878.1609990605,529425.4802245896,SM3
2022-02-28,-2340.713337390628,487457.20332927606,436901.508833633,545305.0899346024,SM3
2022-03-31,-1035.3306199396156,488762.5860467271,436901.5088336328,545305.0899346026,SM3
2022-04-30,270.0520975113968,490067.9687641781,436901.5088336326,545305.0899346028,SM3
2022-05-31,1575.4348149624093,491373.351481629,436901.5088336324,545305.089934603,SM3
2022-06-30,2880.8175324134218,492678.7341990801,436901.5088336322,545305.0899346032,SM3
2022-07-31,4186.200249864434,493984.1169165311,436901.5088336321,545305.0899346033,SM3
2022-08-31,5491.582967315447,495289.49963398214,436901.5088336319,545305.0899346035,SM3
2022-09-30,6796.965684766459,496594.8823514331,436901.5088336317,545305.0899346038,SM3
2022-10-31,8102.348402217472,497900.2650688842,436901.50883363147,545305.0899346039,SM3
2022-11-30,9407.731119668484,499205.64778633515,436901.5088336313,545305.0899346041,SM3
2022-12-31,10713.113837119496,500511.03050378617,436901.5088336311,545305.0899346042,SM3
2022-01-31,-30780.300178953446,758139.3664877132,629930.5043006579,886348.2286747685,N21
2022-02-28,-109918.65448545013,679001.0121812165,539780.9342576647,879781.6904626752,N21
2022-03-31,-15723.32266605558,773196.344000611,712526.3798916193,1053703.6170805031,N21
2022-04-30,-84688.53139054659,704231.13527612,548510.2090241187,891398.7068602325,N21
2022-05-31,-25765.500898224826,763154.1657684417,676200.1618381856,1019485.2324797912,N21
2022-06-30,-65750.18383283357,723169.4828338331,576831.3739928454,921038.5934712704,N21
