Date,Predicted_Price,rmse,mae,borough
2022-02-28,398433.16,47047.479517700376,26801.58810177365,E16
2022-03-31,397898.84,47047.479517700376,26801.58810177365,E16
2022-04-30,398450.03,47047.479517700376,26801.58810177365,E16
2022-05-31,396841.12,47047.479517700376,26801.58810177365,E16
2022-06-30,394972.3,47047.479517700376,26801.58810177365,E16
2022-07-31,397347.56,47047.479517700376,26801.58810177365,E16
2022-08-31,395859.06,47047.479517700376,26801.58810177365,E16
2022-09-30,395859.06,47047.479517700376,26801.58810177365,E16
2022-10-31,394764.28,47047.479517700376,26801.58810177365,E16
2022-11-30,395774.66,47047.479517700376,26801.58810177365,E16
2022-12-31,395774.66,47047.479517700376,26801.58810177365,E16
2022-01-31,367622.1,50875.82358120683,26460.46178399631,HA0
2022-02-28,361994.03,50875.82358120683,26460.46178399631,HA0
2022-03-31,369658.34,50875.82358120683,26460.46178399631,HA0
2022-04-30,367642.44,50875.82358120683,26460.46178399631,HA0
2022-05-31,367949.2,50875.82358120683,26460.46178399631,HA0
2022-06-30,365367.16,50875.82358120683,26460.46178399631,HA0
2022-07-31,368130.1,50875.82358120683,26460.46178399631,HA0
2022-08-31,370576.47,50875.82358120683,26460.46178399631,HA0
2022-09-30,365444.0,50875.82358120683,26460.46178399631,HA0
2022-10-31,366241.12,50875.82358120683,26460.46178399631,HA0
2022-11-30,373518.78,50875.82358120683,26460.46178399631,HA0
2022-12-31,372889.34,50875.82358120683,26460.46178399631,HA0
2022-01-31,500566.12,56495.82466051807,34484.62936921296,IG5
2022-02-28,506529.94,56495.82466051807,34484.62936921296,IG5
2022-03-31,489733.75,56495.82466051807,34484.62936921296,IG5
2022-04-30,492654.53,56495.82466051807,34484.62936921296,IG5
2022-05-31,489733.75,56495.82466051807,34484.62936921296,IG5
2022-06-30,492654.53,56495.82466051807,34484.62936921296,IG5
2022-07-31,492160.53,56495.82466051807,34484.62936921296,IG5
2022-08-31,492160.53,56495.82466051807,34484.62936921296,IG5
2022-09-30,492160.53,56495.82466051807,34484.62936921296,IG5
2022-10-31,497571.34,56495.82466051807,34484.62936921296,IG5
2022-11-30,497571.34,56495.82466051807,34484.62936921296,IG5
2022-12-31,499211.84,56495.82466051807,34484.62936921296,IG5
2022-01-31,401253.47,37424.4843989325,22884.935765612165,E13
2022-02-28,391660.06,37424.4843989325,22884.935765612165,E13
2022-03-31,386529.53,37424.4843989325,22884.935765612165,E13
2022-04-30,407529.25,37424.4843989325,22884.935765612165,E13
2022-05-31,379308.56,37424.4843989325,22884.935765612165,E13
2022-06-30,379308.56,37424.4843989325,22884.935765612165,E13
2022-07-31,379308.56,37424.4843989325,22884.935765612165,E13
2022-08-31,391176.38,37424.4843989325,22884.935765612165,E13
2022-09-30,387019.94,37424.4843989325,22884.935765612165,E13
2022-10-31,387492.0,37424.4843989325,22884.935765612165,E13
2022-11-30,387492.0,37424.4843989325,22884.935765612165,E13
2022-12-31,387492.0,37424.4843989325,22884.935765612165,E13
2022-01-31,450314.2,62538.93562215909,34642.47343471747,SE16
2022-02-28,450314.2,62538.93562215909,34642.47343471747,SE16
2022-03-31,450314.2,62538.93562215909,34642.47343471747,SE16
2022-04-30,450314.2,62538.93562215909,34642.47343471747,SE16
2022-05-31,450314.2,62538.93562215909,34642.47343471747,SE16
2022-06-30,450314.2,62538.93562215909,34642.47343471747,SE16
2022-07-31,450314.2,62538.93562215909,34642.47343471747,SE16
2022-08-31,459915.75,62538.93562215909,34642.47343471747,SE16
2022-09-30,450314.2,62538.93562215909,34642.47343471747,SE16
2022-10-31,450314.2,62538.93562215909,34642.47343471747,SE16
2022-11-30,462937.44,62538.93562215909,34642.47343471747,SE16
2022-12-31,450314.2,62538.93562215909,34642.47343471747,SE16
2022-01-31,349635.53,23601.64051630795,15084.956830802894,RM10
2022-02-28,352027.16,23601.64051630795,15084.956830802894,RM10
2022-03-31,351228.53,23601.64051630795,15084.956830802894,RM10
2022-04-30,351930.03,23601.64051630795,15084.956830802894,RM10
2022-05-31,350510.78,23601.64051630795,15084.956830802894,RM10
2022-06-30,350784.47,23601.64051630795,15084.956830802894,RM10
2022-07-31,352270.9,23601.64051630795,15084.956830802894,RM10
2022-08-31,354364.06,23601.64051630795,15084.956830802894,RM10
2022-09-30,354364.06,23601.64051630795,15084.956830802894,RM10
2022-10-31,352205.66,23601.64051630795,15084.956830802894,RM10
2022-11-30,352205.66,23601.64051630795,15084.956830802894,RM10
2022-12-31,353137.1,23601.64051630795,15084.956830802894,RM10
2022-01-31,1062932.5,267744.45057041117,134803.65462522197,SW5
2022-02-28,1055811.5,267744.45057041117,134803.65462522197,SW5
2022-03-31,1043887.56,267744.45057041117,134803.65462522197,SW5
2022-04-30,1057323.8,267744.45057041117,134803.65462522197,SW5
2022-05-31,1049471.9,267744.45057041117,134803.65462522197,SW5
2022-06-30,1034191.44,267744.45057041117,134803.65462522197,SW5
2022-07-31,1043887.56,267744.45057041117,134803.65462522197,SW5
2022-08-31,1043887.56,267744.45057041117,134803.65462522197,SW5
2022-09-30,1049001.0,267744.45057041117,134803.65462522197,SW5
2022-10-31,1049001.0,267744.45057041117,134803.65462522197,SW5
2022-11-30,1034191.44,267744.45057041117,134803.65462522197,SW5
2022-12-31,1049001.0,267744.45057041117,134803.65462522197,SW5
2022-01-31,349147.3,29490.178791096037,17353.20302864664,EN3EN8
2022-02-28,351796.3,29490.178791096037,17353.20302864664,EN3EN8
2022-03-31,342896.25,29490.178791096037,17353.20302864664,EN3EN8
2022-04-30,345765.12,29490.178791096037,17353.20302864664,EN3EN8
2022-05-31,345574.62,29490.178791096037,17353.20302864664,EN3EN8
2022-06-30,350839.9,29490.178791096037,17353.20302864664,EN3EN8
2022-07-31,357950.1,29490.178791096037,17353.20302864664,EN3EN8
2022-08-31,350356.84,29490.178791096037,17353.20302864664,EN3EN8
2022-09-30,345574.62,29490.178791096037,17353.20302864664,EN3EN8
2022-10-31,351700.6,29490.178791096037,17353.20302864664,EN3EN8
2022-11-30,349348.1,29490.178791096037,17353.20302864664,EN3EN8
2022-12-31,349015.53,29490.178791096037,17353.20302864664,EN3EN8
2022-01-31,544489.25,86601.63443662332,37334.83057791605,UB10
2022-02-28,544856.75,86601.63443662332,37334.83057791605,UB10
2022-03-31,541173.3,86601.63443662332,37334.83057791605,UB10
2022-04-30,540940.56,86601.63443662332,37334.83057791605,UB10
2022-05-31,541046.94,86601.63443662332,37334.83057791605,UB10
2022-06-30,541580.9,86601.63443662332,37334.83057791605,UB10
2022-07-31,542769.0,86601.63443662332,37334.83057791605,UB10
2022-08-31,544073.75,86601.63443662332,37334.83057791605,UB10
2022-09-30,543444.7,86601.63443662332,37334.83057791605,UB10
2022-10-31,538894.44,86601.63443662332,37334.83057791605,UB10
2022-11-30,539044.5,86601.63443662332,37334.83057791605,UB10
2022-12-31,537672.56,86601.63443662332,37334.83057791605,UB10
2022-01-31,421469.0,53148.16752318486,28557.366278165668,SE8
2022-02-28,415249.66,53148.16752318486,28557.366278165668,SE8
2022-03-31,415487.75,53148.16752318486,28557.366278165668,SE8
2022-04-30,415487.16,53148.16752318486,28557.366278165668,SE8
2022-05-31,419200.16,53148.16752318486,28557.366278165668,SE8
2022-06-30,418035.25,53148.16752318486,28557.366278165668,SE8
2022-07-31,414692.6,53148.16752318486,28557.366278165668,SE8
2022-08-31,416017.84,53148.16752318486,28557.366278165668,SE8
