ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9F-0C68-CDC8-E050-A8C063054829},39500,1995-02-23 00:00,CR2 6NJ,F,L,"GREENDALE COURT, 39",FLAT 6,HALING PARK ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,692.982456140351,2.0,57.0,75.0,1966.0,CR2,1995
{2A289E9F-6C5E-CDC8-E050-A8C063054829},45250,1995-02-24 00:00,CR2 7EA,F,L,"SPRINGWOOD COURT, 6",FLAT 3,BIRDHURST ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,942.708333333333,2.0,48.0,57.0,1975.0,CR2,1995
{A5B082E8-100B-4BDB-AFD9-A4794D0E32CA},75000,1995-02-24 00:00,CR2 7EE,T,F,ROBINS COURT,10,BIRDHURST ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,806.451612903226,5.0,93.0,55.0,1975.0,CR2,1995
{AAAE3536-4145-447A-ADE2-9B40DCE62B8C},75000,1995-02-24 00:00,CR2 6HF,T,F,111,,CHURCHILL ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,833.333333333333,5.0,90.0,67.0,1929.0,CR2,1995
{5CD1A3B9-C303-431C-BB77-D6D361C4C6F9},91000,1995-02-25 00:00,CR2 8SR,D,F,29,,GOLDFINCH ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1516.66666666667,5.0,60.0,60.0,1982.0,CR2,1995
{5B9881D1-DB82-4D62-A47F-7EAE06585AF3},62100,1995-02-28 00:00,CR2 6HE,T,F,47,,CHURCHILL ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,739.285714285714,5.0,84.0,54.0,1929.0,CR2,1995
{F2EF8A84-E8BA-4A45-BAAE-B624F3E102CA},132000,1995-02-28 00:00,CR2 9NA,S,F,12,,COURT HILL,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,950.392396860825,7.0,138.89,45.0,1949.0,CR2,1995
{97D72606-C045-427D-A3B5-C8998B26AC2E},88000,1995-02-28 00:00,CR2 6QB,D,F,28,,BIDDULPH ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1288.05620608899,3.0,68.32,35.0,1966.0,CR2,1995
{7280B059-4E30-492E-9690-29D508B951CD},52000,1995-02-28 00:00,CR2 6LJ,F,L,"MORAY COURT, 31",8,WARHAM ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,776.119402985075,3.0,67.0,66.0,1975.0,CR2,1995
{DC70B29B-F78B-4011-9B48-BF3F6D5997D7},55000,1995-03-03 00:00,CR2 8AG,T,F,17,,HEATHFIELD VALE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,662.650602409639,5.0,83.0,62.0,1949.0,CR2,1995
{AD4EA13D-C640-4E8F-97C3-6B12A622DC44},75000,1995-03-10 00:00,CR2 6QJ,T,F,53,,KINGSDOWN AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,862.068965517241,4.0,87.0,66.0,1982.0,CR2,1995
{A72BB48A-771F-4E54-80BA-AFAB3AE87342},275000,1995-03-10 00:00,CR2 7HU,D,F,27,,CASTLEMAINE AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1226.2552394542,9.0,224.26,50.0,1982.0,CR2,1995
{B9238BF4-1B7E-4788-8748-278EDE62E341},51000,1995-03-10 00:00,CR2 6LJ,F,L,"LANDAU COURT, 35",9,WARHAM ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,769.811320754717,3.0,66.25,36.0,1966.0,CR2,1995
{7983916E-D042-4747-82B4-3BEC17A1D7F7},51000,1995-03-10 00:00,CR2 6WB,F,L,30,,CHANCELLOR GARDENS,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1243.90243902439,2.0,41.0,72.0,1990.0,CR2,1995
{607513CD-1A91-45E0-A619-B190BDD4C7D2},58000,1995-03-13 00:00,CR2 6DF,F,L,211A,,PAMPISFORD ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,919.904837430611,3.0,63.05,69.0,1900.0,CR2,1995
{2A289E9F-3B62-CDC8-E050-A8C063054829},45500,1995-03-13 00:00,CR2 7DS,F,L,54,,BIRCHEND CLOSE,,SOUTH CROYDON,CROYDON,GREATER LONDON,875.0,2.0,52.0,74.0,1990.0,CR2,1995
{27F77386-3217-46D1-91B2-B7E13C50CAF5},72000,1995-03-13 00:00,CR2 6HB,S,F,62,,CHURCHILL ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,662.373505059798,6.0,108.7,55.0,1929.0,CR2,1995
{2A289E9C-EF72-CDC8-E050-A8C063054829},44750,1995-03-24 00:00,CR2 7AE,F,L,29,FLAT 3,NORMANTON ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,716.917654597885,2.0,62.42,64.0,1929.0,CR2,1995
{B6BF2B7C-9B8E-4E41-BF50-733A0EA21409},59950,1995-03-24 00:00,CR2 7HL,F,L,44E,,CROHAM PARK AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,916.806851200489,4.0,65.39,30.0,1929.0,CR2,1995
{780C854D-3038-41F9-B22F-B7D9085B3871},65000,1995-03-27 00:00,CR2 8AP,S,F,3A,,TEDDER ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1511.62790697674,1.0,43.0,70.0,1995.0,CR2,1995
{C4D4E3D7-04EF-47B9-9337-69D0595CFDB1},145000,1995-03-28 00:00,CR2 0JA,S,F,34,,DOWNSWAY,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1115.38461538462,7.0,130.0,57.0,1929.0,CR2,1995
{2D503D0D-E4E3-4D2C-9069-1EE73131CC22},107000,1995-03-29 00:00,CR2 8PY,D,F,2,,MALLARD ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1109.95850622407,6.0,96.4,62.0,1982.0,CR2,1995
{2A289E9E-662F-CDC8-E050-A8C063054829},33000,1995-03-29 00:00,CR2 6LA,F,L,"SHARON COURT, 14",FLAT 2,WARHAM ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,767.441860465116,2.0,43.0,54.0,1975.0,CR2,1995
{7B198A0A-D10D-45A9-92CE-9A224357A11F},70000,1995-03-29 00:00,CR2 8QX,S,F,16,,ALBATROSS GARDENS,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1129.03225806452,3.0,62.0,56.0,1975.0,CR2,1995
{CD1DF83A-6753-4180-95EC-B3C55D42AB66},77500,1995-03-30 00:00,CR2 9BY,S,F,339A,,LIMPSFIELD ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1291.66666666667,3.0,60.0,60.0,1949.0,CR2,1995
{995F5F74-F7BF-4BFE-971C-69162CA71FE9},75000,1995-03-31 00:00,CR2 8SS,T,F,18,,GOLDFINCH ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,986.842105263158,5.0,76.0,57.0,1966.0,CR2,1995
{706B57E0-9A71-44B9-A0D4-C049FA38F390},52000,1995-03-31 00:00,CR2 7HE,F,L,57,,CROHAM ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,658.227848101266,4.0,79.0,61.0,1966.0,CR2,1995
{C082EE53-6A2D-48EA-AFFB-715D5AF50F66},55900,1995-03-31 00:00,CR2 6AS,F,L,"MILL COURT, 44 - 46",FLAT 8,BRIGHTON ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1189.36170212766,2.0,47.0,83.0,0.0,CR2,1995
{2A289E9F-40AC-CDC8-E050-A8C063054829},21000,1995-03-31 00:00,CR2 6JJ,F,L,54,FLAT 1,ST AUGUSTINES AVENUE,,SOUTH CROYDON,CROYDON,GREATER LONDON,700.934579439252,1.0,29.96,66.0,1929.0,CR2,1995
{40CDCAA6-B27C-4FEB-BA8C-93D36BC9FC85},97000,1995-03-31 00:00,CR2 8SD,S,F,5,,LICHFIELD WAY,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1120.35112035112,5.0,86.58,73.0,1975.0,CR2,1995
{F5420761-AD27-4042-AB7E-0D70B62ADF27},52000,1995-03-31 00:00,CR2 6HP,T,F,33,,MANSFIELD ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,626.506024096386,3.0,83.0,53.0,1929.0,CR2,1995
{A4A025EC-CA92-4E24-8696-0F2A520EC01D},54000,1995-03-31 00:00,CR2 7DR,F,L,29,FLAT 4,DORNTON ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,909.090909090909,3.0,59.4,49.0,1929.0,CR2,1995
{E96EBF10-F4F2-4A12-A3F3-79A1FFE4A5CC},84000,1995-03-31 00:00,CR2 7EB,S,F,70,,BIRDHURST ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,430.769230769231,9.0,195.0,58.0,1900.0,CR2,1995
{BC5D3942-C594-4C92-BD56-270AC5F92773},169000,1995-03-31 00:00,CR2 8QR,D,F,11,,BEECH WAY,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1420.16806722689,6.0,119.0,64.0,1982.0,CR2,1995
{0E287EF8-F686-4049-8CD7-50A1FB0E0DE1},156000,1995-03-31 00:00,CR2 9AD,D,F,9,,ONSLOW GARDENS,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,987.341772151899,5.0,158.0,66.0,1966.0,CR2,1995
{AC27AFCD-DC44-470F-8272-86DCE59B8717},101000,1995-03-31 00:00,CR2 7JH,S,F,105,,CROHAM VALLEY ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,637.223974763407,6.0,158.5,69.0,1929.0,CR2,1995
{2A289E9D-81A2-CDC8-E050-A8C063054829},40000,1995-04-05 00:00,CR2 6HD,T,F,26,,CRUNDEN ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,563.380281690141,4.0,71.0,52.0,1900.0,CR2,1995
{75634AB6-59D5-48D7-BE9F-74397EEE75D0},54500,1995-04-05 00:00,CR2 8SL,T,L,15,,BRUCE DRIVE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1076.43689512147,3.0,50.63,69.0,1975.0,CR2,1995
{2A289E9E-B1A0-CDC8-E050-A8C063054829},36500,1995-04-06 00:00,CR2 6HD,F,L,RUSHMORE COURT,88,CRUNDEN ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,860.849056603774,2.0,42.4,64.0,1990.0,CR2,1995
{2A289E9D-910E-CDC8-E050-A8C063054829},41500,1995-04-06 00:00,CR2 6LX,F,L,"HILL MANSIONS, 23",FLAT 3,BRAMLEY HILL,,SOUTH CROYDON,CROYDON,GREATER LONDON,516.297586464295,3.0,80.38,62.0,1900.0,CR2,1995
{2A289E9D-1F1C-CDC8-E050-A8C063054829},36000,1995-04-07 00:00,CR2 0PJ,T,F,8,,PURLEY VIEW TERRACE,,SOUTH CROYDON,CROYDON,GREATER LONDON,562.5,4.0,64.0,65.0,1900.0,CR2,1995
{A5F10125-9207-47F2-B400-D949FC3F69F0},56000,1995-04-07 00:00,CR2 7DS,F,L,36,,BIRCHEND CLOSE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1169.83496970963,2.0,47.87,73.0,1982.0,CR2,1995
