ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{2A289E9F-D766-CDC8-E050-A8C063054829},48000,1995-04-21,IG2 7HY,F,L,858,,EASTERN AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,727.272727272727,3.0,66.0,71.0,1966.0,IG2,1995,20656,4,Newbury Park,0.234149,53400,7,3,13.0294463120624,6235.803503113923
{2A289E9E-72D7-CDC8-E050-A8C063054829},40000,1995-04-24,IG2 7EB,F,L,27,,DELLOW CLOSE,,ILFORD,REDBRIDGE,GREATER LONDON,1000.0,2.0,40.0,62.0,1982.0,IG2,1995,20656,4,Newbury Park,0.590206,53400,7,3,11.9547485701048,6235.803503113923
{5F9A5657-1257-4602-A6E4-EAD21F00F32D},72750,1995-04-28,IG2 7HF,D,F,48,,HERTFORD ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,845.93023255814,4.0,86.0,51.0,1949.0,IG2,1995,17637,4,Newbury Park,0.244641,53400,6,3,11.864603667924,6235.803503113923
{7F2A38B1-8EB9-463F-BF0F-5C73F70F28E7},62500,1995-04-28,IG2 6QB,T,F,90,,CANTLEY GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,659.491400232141,6.0,94.77,70.0,1949.0,IG2,1995,21466,4,Newbury Park,0.674618,60600,7,1b,4.96011813996984,6235.803503113923
{3846BD65-A699-4F88-AD11-E06B7ACE29A0},82000,1995-05-05,IG2 6QW,T,F,29,,BROCKHAM DRIVE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,891.304347826087,5.0,92.0,64.0,1949.0,IG2,1995,21466,4,Gants Hill,0.769416,60600,7,1b,3.61981427476445,3788.545832677006
{2A289E9F-23B2-CDC8-E050-A8C063054829},37000,1995-05-05,IG2 7LF,F,L,HASTINGWOOD COURT,FLAT 28,YOUNGS ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,804.347826086957,2.0,46.0,66.0,1982.0,IG2,1995,14895,4,Newbury Park,0.409267,60600,5,3,11.3534131572919,3788.545832677006
{2A289E9D-94DD-CDC8-E050-A8C063054829},45000,1995-05-16,IG2 7AN,F,L,24,,GLENCOE AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,686.70837784221,3.0,65.53,45.0,1949.0,IG2,1995,14062,4,Seven Kings,0.598339,53400,5,2,7.33338863938481,3788.545832677006
{B351BCCF-791F-4884-9D6F-DA72201E3BD0},68000,1995-05-16,IG2 6TG,T,F,45,,SHERE ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,527.131782945736,5.0,129.0,64.0,1949.0,IG2,1995,19591,4,Gants Hill,0.373071,57300,6,4,16.2545190160475,3788.545832677006
{BC0B649E-2F89-4FAB-9B15-C882A958C922},78000,1995-05-22,IG2 6DL,T,F,39,,ALBEMARLE GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,722.155355985557,6.0,108.01,66.0,1929.0,IG2,1995,21341,4,Gants Hill,0.780209,58400,7,3,10.4865554013493,3788.545832677006
{5FCD5353-1269-40CE-9191-1C0C7CDDCDED},68500,1995-05-22,IG2 7DX,T,F,88,,LYNN ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,805.882352941176,5.0,85.0,67.0,1929.0,IG2,1995,20656,4,Newbury Park,0.546909,53400,7,3,12.2875511706905,3788.545832677006
{51757294-436A-4E6C-A7F7-8DE52D8D86FF},62500,1995-05-23,IG2 7LT,T,F,79,,PERRYMANS FARM ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,801.282051282051,5.0,78.0,65.0,1929.0,IG2,1995,14895,4,Newbury Park,0.315946,60600,5,3,11.4629723599211,3788.545832677006
{F5A86571-5D83-42EA-A5CF-8A98E046744E},72500,1995-05-24,IG2 7PT,S,F,12,,SOUTHDOWN CRESCENT,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,534.660766961652,6.0,135.6,65.0,1966.0,IG2,1995,17430,4,Newbury Park,0.507934,54300,6,2,8.17954676693462,3788.545832677006
{BE8B5DF5-A22B-4F66-8DA4-E36149161625},70000,1995-05-26,IG2 7PX,S,F,84,,OAKS LANE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,875.0,4.0,80.0,67.0,1966.0,IG2,1995,17430,4,Newbury Park,0.545283,54300,6,0,0.0,3788.545832677006
{F7B035E0-4636-4825-85EF-1ED98E1C7D83},60000,1995-05-30,IG2 7RE,T,F,NEWBURY COTTAGES,1,LEY STREET,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,901.442307692308,3.0,66.56,59.0,1949.0,IG2,1995,19173,4,Newbury Park,0.602611,58400,6,3,12.2730218514512,3788.545832677006
{E6BFE61F-9F29-46E5-9351-0CBCBB99765B},58500,1995-05-31,IG2 7JE,T,F,20,,LEYSWOOD DRIVE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,545.75986565911,5.0,107.19,71.0,1949.0,IG2,1995,19658,4,Newbury Park,0.551396,54300,6,3,10.0359247449108,3788.545832677006
{2A289E9E-ACAE-CDC8-E050-A8C063054829},38000,1995-05-31,IG2 7DS,F,L,48,,LYNN ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,716.305372290292,3.0,53.05,69.0,1929.0,IG2,1995,20656,4,Newbury Park,0.60832,53400,7,3,12.2846553186662,3788.545832677006
{DEBE8B5B-7BD3-49B2-83EC-CB44DBB341B4},60000,1995-06-01,IG2 6TR,T,F,188,,GANTSHILL CRESCENT,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,444.444444444444,7.0,135.0,69.0,1949.0,IG2,1995,22972,4,Gants Hill,0.354859,58300,7,4,17.8120173591455,-781.9792826364492
{4646A22D-B08F-483F-AF6B-509B49B4329E},73000,1995-06-03,IG2 6YF,T,F,23,,SOUTHWOOD GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,844.321073328707,4.0,86.46,57.0,1929.0,IG2,1995,26981,4,Gants Hill,0.762609,57300,9,2,5.2883264238403,-781.9792826364492
{0B4E4088-3DCC-4ED3-846C-76774735CDA0},84500,1995-06-08,IG2 6XU,T,F,80,,GLENWOOD GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,635.338345864662,5.0,133.0,71.0,1949.0,IG2,1995,26981,4,Gants Hill,0.495229,57300,9,2,9.45993860599017,-781.9792826364492
{2A289E9E-0759-CDC8-E050-A8C063054829},49000,1995-06-09,IG2 6TB,F,L,37A,,GAYSHAM AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,1020.83333333333,3.0,48.0,64.0,1949.0,IG2,1995,19591,4,Gants Hill,0.376994,57300,6,4,16.5495391967046,-781.9792826364492
{8843830E-C24A-4D24-923E-7CAF1B0F0896},79000,1995-06-09,IG2 7AH,T,F,33,,COLENSO ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,443.820224719101,7.0,178.0,50.0,1929.0,IG2,1995,14062,4,Seven Kings,0.454893,53400,5,2,7.24898498868305,-781.9792826364492
{1DF919E3-87EB-4B6B-8FEA-046336F25BC7},70000,1995-06-09,IG2 6SD,T,F,4,,ICKNIELD DRIVE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,788.288288288288,4.0,88.8,63.0,1949.0,IG2,1995,20532,4,Gants Hill,0.67623,57300,7,3,10.5911726860019,-781.9792826364492
{5E6A8B3A-6E03-45CD-99A5-3AFF08EFB750},59900,1995-06-09,IG2 6EQ,T,F,484,,EASTERN AVENUE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,536.44993730969,4.0,111.66,68.0,1949.0,IG2,1995,21341,4,Gants Hill,0.283477,58400,7,4,19.0579006463235,-781.9792826364492
{34F4F89A-BE08-4D0A-9A27-D6323E8BB8EC},51500,1995-06-15,IG2 7QH,T,F,209,,OAKS LANE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,725.352112676056,4.0,71.0,60.0,1966.0,IG2,1995,19658,4,Barkingside,0.852845,54300,6,0,0.0,-781.9792826364492
{F3BB91DA-013B-452E-B4D2-B0945C08EBEB},76500,1995-06-16,IG2 6TG,T,F,35,,SHERE ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,621.951219512195,6.0,123.0,56.0,1949.0,IG2,1995,19591,4,Gants Hill,0.373071,57300,6,4,16.2545190160475,-781.9792826364492
{D210E2EA-600D-4341-A14F-0593AE77E96E},59000,1995-06-21,IG2 7AH,T,F,47,,COLENSO ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,612.414365787835,5.0,96.34,58.0,1949.0,IG2,1995,14062,4,Seven Kings,0.454893,53400,5,2,7.24898498868305,-781.9792826364492
{F794467F-C8F3-40AD-909D-ED87A4AC7778},51000,1995-06-26,IG2 7LP,T,F,43,,BIRKBECK ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,630.096367679763,3.0,80.94,63.0,1929.0,IG2,1995,14895,4,Newbury Park,0.423679,60600,5,2,8.8998029586265,-781.9792826364492
{6BB9765A-1FB3-453A-A207-380DAACD8A99},77000,1995-06-30,IG2 6SF,T,F,17,,GLENHAM DRIVE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,596.899224806202,6.0,129.0,66.0,1949.0,IG2,1995,20532,4,Gants Hill,0.634923,57300,7,2,9.93242631194403,-781.9792826364492
{2A289E9E-B48D-CDC8-E050-A8C063054829},25000,1995-07-05,IG2 7ED,F,L,87,,DELLOW CLOSE,,ILFORD,REDBRIDGE,GREATER LONDON,810.898475510866,1.0,30.83,34.0,1975.0,IG2,1995,20656,4,Newbury Park,0.523706,53400,7,3,11.3765044960497,400.14324005643994
{D87B73DF-C9E6-4E77-A949-A91AD9714148},79500,1995-07-07,IG2 6SN,T,F,62,,OTLEY DRIVE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,593.283582089552,5.0,134.0,63.0,1949.0,IG2,1995,20532,4,Gants Hill,0.577187,57300,7,2,8.90619174904602,400.14324005643994
{6F6EC26D-7E1A-4D31-8E73-775C8A13EE5E},90000,1995-07-10,IG2 6LY,T,F,19,,HEADLEY DRIVE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,865.384615384615,5.0,104.0,55.0,1949.0,IG2,1995,20532,4,Gants Hill,0.416619,57300,7,2,9.39711024052576,400.14324005643994
{5D551D3A-1E7D-483F-9F77-88AE591A1395},88000,1995-07-11,IG2 7BB,S,F,39,,ST JOHNS ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,314.285714285714,11.0,280.0,73.0,1929.0,IG2,1995,21046,4,Newbury Park,0.575819,53400,7,1b,3.09133571650759,400.14324005643994
{2A289E9D-9563-CDC8-E050-A8C063054829},34000,1995-07-12,IG2 7NA,T,F,60,,ABBEY ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,445.901639344262,3.0,76.25,61.0,1929.0,IG2,1995,14895,4,Newbury Park,0.192162,60600,5,3,12.0088064967697,400.14324005643994
{2A289E9D-C39E-CDC8-E050-A8C063054829},38500,1995-07-12,IG2 7NA,T,F,60,,ABBEY ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,504.918032786885,3.0,76.25,61.0,1929.0,IG2,1995,14895,4,Newbury Park,0.192162,60600,5,3,12.0088064967697,400.14324005643994
{8979AA40-F55A-4037-A040-0D49FA9C8F43},71000,1995-07-14,IG2 6AG,T,F,3,,CRANLEY ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,817.501439263097,5.0,86.85,60.0,1949.0,IG2,1995,19173,4,Newbury Park,0.68017,58400,6,3,13.5273711115865,400.14324005643994
