Postcode,Ward Code,London zone,Index of Multiple Deprivation,Nearest station,Distance to station,Average Income,IMD decile,Ward Name,AvPTAI2015,PTAL
E14 8UQ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8UZ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WA,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WB,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WD,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WE,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WF,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WG,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WH,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WJ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WL,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WN,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WP,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WQ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WR,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WS,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WT,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WU,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8WW,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WX,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WY,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8WZ,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8XA,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XB,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XD,E05009326,2,5983,Westferry,0.264116,68500,2,Limehouse,18.833333,4
E14 8XE,E05009323,2,27157,Heron Quays,0.292445,56100,9,Canary Wharf,15.085366,4
E14 8XF,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XH,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XJ,E05009326,2,5983,Westferry,0.264116,68500,2,Limehouse,18.833333,4
E14 8XL,E05009326,2,5983,Westferry,0.264116,68500,2,Limehouse,18.833333,4
E14 8XN,E05009326,2,5983,Westferry,0.264116,68500,2,Limehouse,18.833333,4
E14 8XP,E05009326,2,5983,Westferry,0.264116,68500,2,Limehouse,18.833333,4
E14 8XQ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XR,E05009323,2,27157,Heron Quays,0.291496,56100,9,Canary Wharf,15.085366,4
E14 8XS,E05009323,2,27157,Heron Quays,0.291496,56100,9,Canary Wharf,15.085366,4
E14 8XT,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XU,E05009323,2,27157,Heron Quays,0.291496,56100,9,Canary Wharf,15.085366,4
E14 8XW,E05009323,2,27157,Heron Quays,0.291496,56100,9,Canary Wharf,15.085366,4
E14 8XX,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XY,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8XZ,E05009324,2,25292,Mudchute,0.805107,80100,8,Island Gardens,9.348684,2
E14 8YB,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YE,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YF,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YG,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YH,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YP,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YQ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YT,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YW,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YX,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8YZ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8ZR,E05009324,2,25292,Mudchute,0.805107,80100,8,Island Gardens,9.348684,2
E14 8ZZ,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 9AA,E05009318,2,24799,Blackwall,0.18447,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9AB,E05009323,2,14749,Heron Quays,0.239194,56100,5,Canary Wharf,15.085366,4
E14 9AD,E05009318,2,15260,South Quay,0.574736,76800,5,Blackwall & Cubitt Town,10.574468,3
E14 9AE,E05009323,2,20860,South Quay,0.2354,56100,7,Canary Wharf,15.085366,4
E14 9AF,E05009323,2,14749,Heron Quays,0.271205,56100,5,Canary Wharf,15.085366,4
E14 9AG,E05009327,2,5828,Westferry,0.415062,48700,2,Mile End,19.177419,4
E14 9AH,E05009323,2,14749,Heron Quays,0.271205,56100,5,Canary Wharf,15.085366,4
E14 9AJ,E05009323,2,20860,South Quay,0.199239,56100,7,Canary Wharf,15.085366,4
E14 9AL,E05009323,2,14749,Heron Quays,0.271205,56100,5,Canary Wharf,15.085366,4
E14 9AN,E05009323,2,17320,South Quay,0.254142,52900,6,Canary Wharf,15.085366,4
E14 9AP,E05009323,2,14749,Heron Quays,0.168693,56100,5,Canary Wharf,15.085366,4
E14 9AQ,E05009318,2,16624,Crossharbour and London Arena,0.155284,76800,6,Blackwall & Cubitt Town,10.574468,3
E14 9AR,E05009323,2,20860,South Quay,0.238356,56100,7,Canary Wharf,15.085366,4
E14 9AS,E05009323,2,14749,Heron Quays,0.179837,56100,5,Canary Wharf,15.085366,4
E14 9AT,E05009318,2,17778,South Quay,0.274406,76800,6,Blackwall & Cubitt Town,10.574468,3
E14 9AU,E05009318,2,24799,Blackwall,0.112433,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9AW,E05009323,2,11466,South Quay,0.215318,52900,4,Canary Wharf,15.085366,4
E14 9AX,E05009323,2,14749,Heron Quays,0.252389,56100,5,Canary Wharf,15.085366,4
E14 9AY,E05009318,2,24799,Blackwall,0.163922,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9AZ,E05009323,2,14749,Heron Quays,0.179837,56100,5,Canary Wharf,15.085366,4
E14 9BA,E05009318,2,24799,Blackwall,0.127064,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9BB,E05009318,2,17778,South Quay,0.274406,76800,6,Blackwall & Cubitt Town,10.574468,3
E14 9BD,E05009323,2,17320,South Quay,0.272436,52900,6,Canary Wharf,15.085366,4
E14 9BE,E05009318,2,24799,Blackwall,0.163922,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9BF,E05009318,2,24799,Blackwall,0.163922,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9BG,E05009318,2,24799,Blackwall,0.163922,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9BH,E05009318,2,16738,Blackwall,0.311424,76800,6,Blackwall & Cubitt Town,10.574468,3
E14 9BJ,E05009323,2,17320,South Quay,0.349582,52900,6,Canary Wharf,15.085366,4
E14 9BL,E05009323,2,17320,South Quay,0.278836,52900,6,Canary Wharf,15.085366,4
E14 9BN,E05009323,2,17320,South Quay,0.278836,52900,6,Canary Wharf,15.085366,4
E14 9BP,E05009323,2,17320,South Quay,0.251117,52900,6,Canary Wharf,15.085366,4
E14 9BQ,E05009318,2,24799,Blackwall,0.163922,76800,8,Blackwall & Cubitt Town,10.574468,3
E14 9BS,E05009323,2,17320,South Quay,0.346814,52900,6,Canary Wharf,15.085366,4
E14 9BT,E05009323,2,14749,Heron Quays,0.247211,56100,5,Canary Wharf,15.085366,4
E14 9BU,E05009323,2,17320,South Quay,0.251117,52900,6,Canary Wharf,15.085366,4
E14 9BW,E05009323,2,19572,South Quay,0.317274,52900,6,Canary Wharf,15.085366,4
E14 9BX,E05009318,2,15260,South Quay,0.574736,76800,5,Blackwall & Cubitt Town,10.574468,3
E14 9BY,E05009324,2,21427,Island Gardens,0.150134,61600,7,Island Gardens,9.348684,2
E14 9BZ,E05009324,2,21427,Island Gardens,0.279347,61600,7,Island Gardens,9.348684,2
E14 9DA,E05009323,2,14749,Heron Quays,0.179837,56100,5,Canary Wharf,15.085366,4
E14 9DB,E05009323,2,14749,Heron Quays,0.247211,56100,5,Canary Wharf,15.085366,4
E14 9DD,E05009323,2,11466,South Quay,0.211378,52900,4,Canary Wharf,15.085366,4
E14 9DE,E05009318,2,17778,Blackwall,0.172116,76800,6,Blackwall & Cubitt Town,10.574468,3
E14 9DF,E05009323,2,19572,South Quay,0.282224,52900,6,Canary Wharf,15.085366,4
E14 9DG,E05009323,2,19572,South Quay,0.335367,52900,6,Canary Wharf,15.085366,4
